,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['41.656300', '-85.019800']",2016-12-20 19:29,"Call me at show contact info $1,000 or best offer",,5885732221,41.656300,1,-85.019800,,"https://maps.google.com/maps/preview/@41.656300,-85.019800,16z",,$1000,power, (Angola),1999 Mercury 15 HP,https://kalamazoo.craigslist.org/boa/5885732221.html,
1,,"['42.193800', '-85.563900']",2016-12-20 14:35,"Winter Dock SALE!!! 4x10 Anodized Aluminum Reg. $599 on Sale for $479. Cash or check only. 3x10 Anodized Aluminum Reg. $468 on Sale for$374. Cash or Check only. 4x10 Treated wood with Aluminum stringers Reg. $315 on sale for $252 Cash or check only 3x10 Treated Wood with Aluminum stringers Reg. $273 on sale for $218 Cash or Check only We also Have Vinyl dock and other brands of dock on sale call for pricing. All Hardware is on sale also. Check out our under dock supports, no more auguring in poles!! WE INSTALL WHAT WE SELL!!",,5927157387,42.193800,10,-85.563900,,"https://maps.google.com/maps/preview/@42.193800,-85.563900,16z",,,human,,Winter Dock SALE!!!,https://kalamazoo.craigslist.org/boa/5927157387.html,
2,,,2016-12-20 10:13,"Measures 43"" long by 23"" wide with 4"" swivel casters Jet skis, waverunner, small boat dolly All aluminum Great shop dolly Call show contact info",,5896208405,,4,,,,,$150,human, (kalamazoo),Personal Watercraft Dolly,https://kalamazoo.craigslist.org/boa/5896208405.html,
3,,,2016-12-20 10:13,"Use for a large personal watercraft, fishing boat or small speed boat Perfect thing to have when you need to make trailer repairs or store your boat without the trailer in the way Not sure of weight capacity,  at least 1500 pounds 70"" long 30"" wide 16"" high 22"" between carpeted supports with 4"" casters Call show contact info",,5898112496,,70,,,,,$200,human, (kalamazoo),Boat Dolly,https://kalamazoo.craigslist.org/boa/5898112496.html,
4,excellent,,2016-12-19 22:17,I have a durable 17' Michicraft brand aluminum canoe that I am selling to free up space. Two wooden paddles are included. This canoe has been well taken care of and is has no leaks. I am offering it for $300 or your best offer. Please feel free to let me know if you are interested and would like to take a look at it! You can text or call me at show contact info,,5926339191,,17,,Michicraft,,,$400,human, (Kalamazoo),Michicraft 17' Aluminum Canoe,https://kalamazoo.craigslist.org/boa/5926339191.html,
5,like new,"['42.193800', '-85.563900']",2016-12-19 14:42,"Selling my 2005 17 Ft NITRO Fishing Boat. Boat has been well cared for and in great condition. It sits on a matching NITRO trailer,with custom wheels. All electronics Gauges pumps and navigation working correctly.The Boat and Trailer look great and have NO rust on trailer.As you can tell by the pics. Here's a small list of some of the boats features. Mercury 2005 90 Hp electric start motor.Oil injected (VERY NICE) Lowrance 5 inch color fish finders. VERY Wide Beam Very generous live well. boat also comes with custom cover .New in box $500. Capt seats no tears whatsoever all movable.and room for more. also new half seats are included upfront storage compartment for bait and tackle. side storage for rods.Lockable(And I Have The Key) 11-Galon board fuel tank. Marine battery,and box #2 dock lines # 3 life jackets New Cabela's Side guides for easy back up and drive on #bank pole storage paddle, fire extinguisher Registered till 2019 43# Motor guide troller on board battery charger Storage paid till April 2017 I will follow-up with some detailed pictures . Asking $9850 OR BEST OFFER,Need the space. call with any questions. show contact info ask for Mike Thanks for Looking",,5887086382,42.193800,17,-85.563900,NITRO,"https://maps.google.com/maps/preview/@42.193800,-85.563900,16z",NX-750,$9850,power," (Portage,Mi)",2005 NITRO 175-REDUCED,https://kalamazoo.craigslist.org/boa/5887086382.html,2005
6,,,2016-12-19 14:27,I am willing to trade my trailer for an ice fishing boat aluminum or fiberglass 17 - 18 foot.  Travel trailer is a 2003 Salem fully equipped self contained sleeps 8 to 9 people Central air and heat. Fridge works on gas or electric rear bathroom tub and shower Roll out awning outside grill worksoft gas call for more detail. show contact info,,5925766642,,29,,,,,$5800,human, (Highland in),I am willing to trade for a boat. My 2003 Salem travel trailer,https://kalamazoo.craigslist.org/boa/5925766642.html,
7,,,2016-12-19 11:40,Selling a 12ft Jon boat and trialor asking $200 boat needs tlc also have a older Sears 3hp motor air cooled runs good will sell for $200 or $350 for all txt for pics if interested,,5923044845,,12,,,,,$200,human, (Plainwell),12ft Jon boat and trialor,https://kalamazoo.craigslist.org/boa/5923044845.html,
8,,,2016-12-19 09:59,"I have my early Palmer iceboat for sale. This vintage, 2 person boat has been used mainly on Gull and area lakes, comes with extra skates and is in decent shape. $1000.",,5922801804,,16,,Palmer,,,,sail,,Ice boat,https://kalamazoo.craigslist.org/boa/5922801804.html,
9,excellent,,2016-12-19 05:05,"Beautiful professionally painted hull sides. New Nautilux flooring and floor boards, new upholstery, Bimini top, Comes with a freshly rebuilt original 327. This classic Chris needs a new owner with time to finish the masterpiece. Just needs the engine wired, linkage, and drive shaft hooked up and put the seats back in. Too much spam, will not respond to emails. Price is firm. Please call 269-2 zero seven- 06-two seven PRICE TO SELL $5500 FIRM. Keywords. Wooden boat, chris craft, garwood, century, classic",,5905216680,,22,,Chris Craft,,22 sea skiff,$5500,power, (Richland),1966 Chris Craft 22' Sea Skiff,https://kalamazoo.craigslist.org/boa/5905216680.html,1966
