,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['44.991000', '-122.762700']",2016-12-20 17:32,"PLEASE ..... DO NO TEXT MESSAGE or TEXT PICTURES .... For Sale or Trade .... 2 Jet Ski's and Trailer .... a 1995 Yamaha Wave Runner III GP and a 1995 Yamaha Wave Raider Deluxe .... We have owned both of them for 7 summers and used only on our private pond . Don't know before then ..... Both were running 2 summers ago and have been parked for the last 2 summers .... I pulled them out of storage a few weeks ago to start and make sure they were ready for winter and do a power wash on them ... BUT , both batteries were dead and they would not charge ... so since they are not getting used ... I decided I would just sell as is ... and let someone else buy the batteries ... so I have priced them low enough for someone to get them running again ... I see similar Jet ski's selling in the $1500.00 range each ... and the dual trailer's in the $1000.00 range ... I have titles ...........  Also ... trailer lights work ... takes a 2 inch ball ... tires are 75 % or better ... bearings are tight and have bearing buddies which I greased ... and has jet ski covers .... $2000.00 for 2 jet ski's and trailer ( will not break up ) =================================================== Or will trade for Vintage Fishing Lures ( I collect ) ... No poles or Reels ... Or Vintage Ammo Boxes ( I collect )  .... and the older Storm Wiggle Warts for fishing the Willamette River  .... or things that shoot ... ========================================== PLEASE .... DO NOT TEXT ........... THANKS !! Email is BEST to get ahold of me .... or Call ... DOUG at show contact info ( Silverton Oregon ) PLEASE .... DO NOT TEXT ........... THANKS !! ============================================================ Key Words .... fishing bass trout salmon steelhead pickup farm deer elk hunting camping vacation swimming pool",,5923724803,44.991000,85,-122.762700,,"https://maps.google.com/maps/preview/@44.991000,-122.762700,16z",,$2000,power, (silverton),F/S or Trade ...   2 Yamaha Jet Ski's and Trailer  .. with Titles,https://corvallis.craigslist.org/boa/5923724803.html,
1,like new,"['44.548800', '-123.392300']",2016-12-20 14:34,This canoe is lightly used and $2399 new (https://www.wenonah.com/Canoes.aspx?id=121) Canoe comes with the removable solo yoke&Pads ($169.95 new) This canoe has been stored out of the sun in my shop. It is a nice-tracking fast canoe. I have a Nova Prospector that I personally prefer (from boyhood) and have rarely used the Prism.,,5927412352,44.548800,16,-123.392300,Wenonah,"https://maps.google.com/maps/preview/@44.548800,-123.392300,16z",Prism,$1500,human,,Wenonah Prism Ultralight Solo Canoe,https://corvallis.craigslist.org/boa/5927412352.html,
2,good,"['44.531600', '-122.882100']",2016-12-19 21:18,"Nice old fishing boat with a great running 4 cylinder engine. $2750 OBO solid floor, new alternator, and starter.",,5926424622,44.531600,19,-122.882100,Bayliner,"https://maps.google.com/maps/preview/@44.531600,-122.882100,16z",Capri,$1,power, (Lebanon),Bayliner,https://corvallis.craigslist.org/boa/5926424622.html,1983
3,,,2016-12-19 19:39,"The white propeller is 14x20. The black propeller is 14x16. $15 each. I sold my boat that took these, and no longer need them.",,5906727002,,100,,,,,$15,power, (Lebanon),Omc props,https://corvallis.craigslist.org/boa/5906727002.html,
4,,,2016-12-19 17:42,"16' Alumaweld drift boat. Older boat but well taken care of. We love this boat, the only reason we are getting rid of it is because we wanted a bigger drift boat so we got a 18' clackamax. Brand new glove-it on the bottom. Comes with many rod holders. Extra seat that mounts to the removable wood piece in the back for a motor. Brand new anchor rope. Pretty new trailer tires with a brand new spare tire.",,5926255664,,16,,Alumaweld,,,$3000,human, (Albany),Drift Boat,https://corvallis.craigslist.org/boa/5926255664.html,1991
5,,"['44.056100', '-122.917100']",2016-12-19 13:00,"16ft tri-hull seaswirl Floats, title in hand all electronics work, bilge pump, windshield wiper, and lights work. Really just needs a new outboard motor. Comes with parts 40 hp merc. Not junk just needs work. Its really just too big for my Wrangler to pull around. The trailer is aluminum, easy pull, great shape, electric winch, good tires, and lights. It has no issues. Trailer is easily worth 400 or 500 on its own. Pics coming soon 350 obo. Call or text 270 five five 6 89 seven 5",,5925911223,44.056100,16,-122.917100,,"https://maps.google.com/maps/preview/@44.056100,-122.917100,16z",,$350,power, (Springfield),Project Boat plus Aluminum Trailer,https://corvallis.craigslist.org/boa/5925911223.html,
6,,,2016-12-19 10:18,"Redline 351 Ford Windsor V8 motor with only 12 hour on full rebuild Hamilton 3 stage Jet Drive Pump Full top with side curtains needs some Tlc New trailer Senior owned Lots of deck area Very heavy duty construction Call or text show contact info $10,900 No trades",,5913860075,,21,,,,,$10900,power, (N Albany),21 1/2 Almar Aluminum Jet Sled,https://corvallis.craigslist.org/boa/5913860075.html,
7,,,2016-12-19 05:20,"Never been used comes with original box., call or text show contact info",,5891967734,,26,,,,,$80,power, (Albany),Rc Boat with remote and stand,https://corvallis.craigslist.org/boa/5891967734.html,
8,,"['44.635778', '-123.092794']",2016-12-18 21:56,"have a 14 ft boat looking for motor,, show contact info tom",,5914506432,44.635778,14,-123.092794,,"https://maps.google.com/maps/preview/@44.635778,-123.092794,16z",,,power,,looking for outboard motor with jet,https://corvallis.craigslist.org/boa/5914506432.html,
9,,,2016-12-16 21:32,Very nice 70s Grumman canoe with wood paddles and snap on skirt. Needs a bath.,,5910820741,,17,,Grumman,,,$600,human, (Corvallis),Grumman Canoe,https://corvallis.craigslist.org/boa/5910820741.html,
